ASM101879v2	SAMN03255457	GCF_001018795.2
ASM101880v2	SAMN03255454	GCF_001018805.1
ASM101883v2	SAMN03255458	GCF_001018835.2
ASM101884v2	SAMN03255460	GCF_001018845.2
ASM101887v2	SAMN03255461	GCF_001018875.2
ASM101888v2	SAMN03255462	GCF_001018885.2
ASM101890v2	SAMN03255465	GCF_001018905.2
ASM101891v2	SAMN03255466	GCF_001018915.2
ASM101895v2	SAMN03255467	GCF_001018955.2
ASM101896v2	SAMN03255468	GCF_001018965.2
ASM101897v2	SAMN03255469	GCF_001018975.2
ASM101901v2	SAMN03255470	GCF_001019015.2
ASM101903v2	SAMN03255473	GCF_001019035.2
ASM101904v2	SAMN03255475	GCF_001019045.2
ASM101905v2	SAMN03255477	GCF_001019055.2
ASM101906v2	SAMN03255476	GCF_001019065.2
ASM101912v2	SAMN03255482	GCF_001019125.2
ASM101913v2	SAMN03255480	GCF_001019135.2
ASM101917v2	SAMN03255484	GCF_001019175.2
ASM101919v2	SAMN03255488	GCF_001019195.2
ASM101920v2	SAMN03255487	GCF_001019205.2
ASM101921v2	SAMN03255489	GCF_001019215.2
ASM101925v2	SAMN03255441	GCF_001019255.2
ASM101927v2	SAMN03255446	GCF_001019275.2
ASM101929v2	SAMN03255447	GCF_001019295.2
ASM101930v2	SAMN03255448	GCF_001019305.2
ASM101933v2	SAMN03255452	GCF_001019335.2
ASM101935v2	SAMN03255455	GCF_001019355.2
ASM101937v2	SAMN03255456	GCF_001019375.2
ASM101939v2	SAMN03255459	GCF_001019395.2
ASM101941v2	SAMN03255463	GCF_001019415.2
ASM101943v2	SAMN03255464	GCF_001019435.2
ASM101945v2	SAMN03255471	GCF_001019455.2
ASM101947v2	SAMN03255472	GCF_001019475.2
ASM101948v2	SAMN03255474	GCF_001019485.2
ASM101949v2	SAMN03255479	GCF_001019495.2
ASM101953v2	SAMN03255481	GCF_001019535.2
ASM101955v2	SAMN03255483	GCF_001019555.1
ASM101956v2	SAMN03255485	GCF_001019565.2
ASM101957v2	SAMN03255486	GCF_001019575.2
ASM102187v1	SAMN02746692	GCF_001021875.1
ASM102189v1	SAMN02767179	GCF_001021895.1
ASM102676v1	SAMN03704076	GCF_001026765.1
ASM102704v1	SAMN03699895	GCF_001027045.1
ASM102710v1	SAMN03651231	GCF_001027105.1
ASM104559v1	SAMN03160855	GCF_001045595.1
